Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C3, C4, C5, C6, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,13,100n,
J1,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DE15_Receptacle_HighDensity_MountingHoles,
J3,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
JTAG1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100R,
"R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,470R,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K5,
U1,DIP-20_W7.62mm,1,74HC245,
U10,DIP-40_W15.24mm,1,ATmega16-16P,
U12,PLCC-44_THT-Socket,1,XC9536PC44,
U2,DIP-28_W15.24mm,1,6264,
"U3, U9",DIP-20_W7.62mm,2,74HC574,
U4,DIP-28_W15.24mm,1,2764,
U5,DIP-14_W7.62mm,1,74HC02,
"U6, U7",DIP-20_W7.62mm,2,74AHC244,
U8,DIP-16_W7.62mm,1,74HC166,
X1,Oscillator_DIP-14,1,ACO-25.175MHz-A,
