Designator,Mid X,Mid Y,Rotation,Layer
C1,77.47,-99.06,90.0,top
C10,99.02,-52.07,180.0,top
C11,60.96,-62.23,0.0,top
C12,163.83,-82.55,270.0,top
C13,135.89,-80.01,180.0,top
C2,85.09,-118.11,0.0,top
C3,113.03,-50.8,180.0,top
C4,128.27,-77.47,90.0,top
C5,170.18,-91.44,180.0,top
C6,135.89,-68.54,90.0,top
C7,77.47,-88.9,90.0,top
C8,99.02,-118.11,0.0,top
C9,85.09,-86.36,0.0,top
J1,86.365,-52.5875,90.0,top
J2,183.300331,-66.04,90.0,top
J3,180.8325,-90.17,90.0,top
JTAG1,169.4275,-62.23,180.0,top
R1,135.89,-57.15,90.0,top
R2,127.0,-55.88,180.0,top
R3,127.0,-50.8,180.0,top
R4,127.0,-66.04,0.0,top
R5,127.0,-71.12,0.0,top
R6,127.0,-60.96,0.0,top
R7,171.45,-81.28,90.0,top
R8,167.64,-81.28,90.0,top
U1,99.06,-101.6,180.0,top
U10,66.04,-91.44,180.0,top
U12,149.86,-62.23,0.0,top
U2,116.84,-96.52,0.0,top
U3,134.62,-96.52,0.0,top
U4,152.4,-96.52,0.0,top
U5,113.03,-63.5,0.0,top
U6,85.1,-101.6,180.0,top
U7,85.1,-71.12,180.0,top
U8,170.18,-104.14,0.0,top
U9,99.06,-72.39,0.0,top
X1,66.04,-53.34,0.0,top
